keyword,category,search_volume,competition,city_specific,priority
kebaby Warszawa,primary,high,medium,yes,1
kebaby Kraków,primary,high,medium,yes,1
kebaby Łódź,primary,medium,medium,yes,1
kebaby Wrocław,primary,medium,medium,yes,1
kebaby Poznań,primary,medium,medium,yes,1
kebaby Gdańsk,primary,medium,medium,yes,1
kebaby Szczecin,primary,medium,low,yes,1
kebaby Bydgoszcz,primary,medium,low,yes,1
kebaby Lublin,primary,medium,low,yes,1
kebaby Białystok,primary,medium,low,yes,1
kebaby Katowice,primary,medium,medium,yes,1
kebaby Gdynia,primary,medium,low,yes,1
kebaby Częstochowa,primary,medium,low,yes,1
kebaby Radom,primary,medium,low,yes,1
kebaby Rzeszów,primary,medium,low,yes,1
kebaby Toruń,primary,medium,low,yes,1
kebaby Sosnowiec,primary,medium,low,yes,1
kebaby Kielce,primary,medium,low,yes,1
kebaby Gliwice,primary,medium,low,yes,1
kebaby Olsztyn,primary,medium,low,yes,1
kebaby Zabrze,primary,medium,low,yes,1
kebaby Bielsko-Biała,primary,medium,low,yes,1
kebaby Bytom,primary,medium,low,yes,1
kebaby Zielona Góra,primary,medium,low,yes,1
kebaby Rybnik,primary,medium,low,yes,1
kebaby Ruda Śląska,primary,medium,low,yes,1
kebaby Opole,primary,medium,low,yes,1
kebaby Tychy,primary,medium,low,yes,1
kebaby Gorzów Wielkopolski,primary,medium,low,yes,1
kebaby Elbląg,primary,medium,low,yes,1
kebaby Płock,primary,medium,low,yes,1
kebaby Dąbrowa Górnicza,primary,medium,low,yes,1
kebaby Wałbrzych,primary,medium,low,yes,1
kebaby Włocławek,primary,medium,low,yes,1
kebaby Tarnów,primary,medium,low,yes,1
kebaby Chorzów,primary,medium,low,yes,1
kebaby Koszalin,primary,medium,low,yes,1
kebaby Kalisz,primary,medium,low,yes,1
kebaby Legnica,primary,medium,low,yes,1
kebaby Grudziądz,primary,medium,low,yes,1
kebaby Jaworzno,primary,medium,low,yes,1
kebaby Słupsk,primary,medium,low,yes,1
kebaby Jastrzębie-Zdrój,primary,medium,low,yes,1
kebaby Nowy Sącz,primary,medium,low,yes,1
kebaby Konin,primary,medium,low,yes,1
kebaby Piotrków Trybunalski,primary,medium,low,yes,1
kebaby Inowrocław,primary,medium,low,yes,1
kebaby Lubin,primary,medium,low,yes,1
kebaby Siedlce,primary,medium,low,yes,1
kebaby Piła,primary,medium,low,yes,1
kebaby Pszczyna,primary,medium,low,yes,1
kebaby Myszków,primary,medium,low,yes,1
kebaby Koziegłowy,primary,medium,low,yes,1
kebaby Czechowice-Dziedzice,primary,medium,low,yes,1
kebaby Żarki,primary,medium,low,yes,1
kebaby Jordanów,primary,medium,low,yes,1
kebaby Zakopane,primary,medium,low,yes,1
kebaby Wieliczka,primary,medium,low,yes,1
kebaby Myslowice,primary,medium,low,yes,1
kebaby Oswiecim,primary,medium,low,yes,1
kebaby Skawina,primary,medium,low,yes,1
kebaby Dobczyce,primary,medium,low,yes,1
ranking kebabów Warszawa,primary,high,medium,yes,1
ranking kebabów Kraków,primary,high,medium,yes,1
ranking kebabów Łódź,primary,medium,medium,yes,1
najlepszy kebab Warszawa,primary,high,medium,yes,1
najlepszy kebab Kraków,primary,high,medium,yes,1
najlepszy kebab Łódź,primary,medium,medium,yes,1
gdzie zjeść kebab Warszawa,secondary,medium,low,yes,2
gdzie zjeść kebab Kraków,secondary,medium,low,yes,2
gdzie zjeść kebab Łódź,secondary,medium,low,yes,2
kebab z dostawą Warszawa,long-tail,medium,low,yes,3
kebab z dostawą Kraków,long-tail,medium,low,yes,3
kebab z dostawą Łódź,long-tail,medium,low,yes,3
turecki kebab Warszawa,long-tail,medium,low,yes,3
turecki kebab Kraków,long-tail,medium,low,yes,3
turecki kebab Łódź,long-tail,medium,low,yes,3
kebab na wynos Warszawa,long-tail,medium,low,yes,3
kebab na wynos Kraków,long-tail,medium,low,yes,3
kebab na wynos Łódź,long-tail,medium,low,yes,3
kebab ranking Poland,secondary,medium,medium,no,2
najlepszy kebab Poland,secondary,medium,medium,no,2
top kebab Poland,secondary,medium,medium,no,2
kebab oceny Google,secondary,medium,low,no,2
ranking kebabów Google,secondary,medium,low,no,2
AI ranking kebabów,secondary,low,low,no,2
analiza AI recenzji kebabów,secondary,low,low,no,2
kebab wspierany AI,secondary,low,low,no,2
ranking sztuczna inteligencja kebab,secondary,low,low,no,2
kebab z dostawą do domu Warszawa,long-tail,low,low,yes,4
kebab z dostawą do domu Kraków,long-tail,low,low,yes,4
kebab z dostawą do domu Łódź,long-tail,low,low,yes,4
kebab otwarte 24h Warszawa,long-tail,low,low,yes,4
kebab otwarte 24h Kraków,long-tail,low,low,yes,4
kebab otwarte 24h Łódź,long-tail,low,low,yes,4
kebab z parkingiem Warszawa,long-tail,low,low,yes,4
kebab z parkingiem Kraków,long-tail,low,low,yes,4
kebab z parkingiem Łódź,long-tail,low,low,yes,4
kebab wegetariański Warszawa,long-tail,low,low,yes,4
kebab wegetariański Kraków,long-tail,low,low,yes,4
kebab wegetariański Łódź,long-tail,low,low,yes,4
kebab halal Warszawa,long-tail,low,low,yes,4
kebab halal Kraków,long-tail,low,low,yes,4
kebab halal Łódź,long-tail,low,low,yes,4
kebab z opcjami wegańskimi Warszawa,long-tail,low,low,yes,5
kebab z opcjami wegańskimi Kraków,long-tail,low,low,yes,5
kebab z opcjami wegańskimi Łódź,long-tail,low,low,yes,5
kebab z gluten free Warszawa,long-tail,low,low,yes,5
kebab z gluten free Kraków,long-tail,low,low,yes,5
kebab z gluten free Łódź,long-tail,low,low,yes,5
kebab z opcjami bezmięsnymi Warszawa,long-tail,low,low,yes,5
kebab z opcjami bezmięsnymi Kraków,long-tail,low,low,yes,5
kebab z opcjami bezmięsnymi Łódź,long-tail,low,low,yes,5
kebab z opcjami dla dzieci Warszawa,long-tail,low,low,yes,5
kebab z opcjami dla dzieci Kraków,long-tail,low,low,yes,5
kebab z opcjami dla dzieci Łódź,long-tail,low,low,yes,5
kebab z opcjami dietetycznymi Warszawa,long-tail,low,low,yes,5
kebab z opcjami dietetycznymi Kraków,long-tail,low,low,yes,5
kebab z opcjami dietetycznymi Łódź,long-tail,low,low,yes,5
